# Step E_total E_lj E_tors
   1370000       114.6035       -97.2380       211.8415
   1380000       113.2149      -101.0406       214.2554
   1390000       117.2233       -95.6055       212.8288
   1400000       117.3697       -95.1370       212.5067
   1410000       113.6839       -94.7030       208.3868
   1420000       106.5312      -100.9807       207.5120
   1430000       109.7960       -98.8760       208.6720
   1440000       108.1027       -99.7512       207.8539
   1450000       122.1745       -98.2231       220.3977
   1460000       108.2457      -102.3609       210.6066
   1470000       105.8122      -103.8485       209.6607
   1480000        96.5844      -106.8142       203.3987
   1490000       103.2102      -108.4787       211.6889
   1500000       106.8109      -102.8303       209.6412
   1510000       109.8271      -102.4347       212.2617
   1520000       107.4341      -100.9681       208.4022
   1530000       105.3307      -102.6023       207.9329
   1540000       106.7814      -101.6128       208.3942
   1550000       106.4757       -99.2009       205.6766
   1560000       108.4228       -99.4866       207.9094
   1570000       103.1907       -98.6110       201.8017
   1580000       107.0731      -102.5476       209.6207
   1590000       101.8163      -104.4918       206.3081
   1600000       105.3847      -100.0132       205.3979
   1610000        94.3890      -105.2491       199.6380
   1620000        95.2577      -105.6345       200.8922
   1630000       101.4165      -100.5872       202.0037
   1640000        97.7219      -102.2020       199.9239
   1650000        99.3543      -102.5963       201.9506
   1660000       108.5148       -97.2465       205.7613
   1670000       107.4397      -103.3113       210.7510
   1680000       104.0787      -104.2577       208.3364
   1690000       109.2883      -103.7444       213.0328
   1700000       100.4634      -106.3169       206.7804
   1710000       103.0506      -104.6009       207.6515
   1720000       102.6309      -104.5079       207.1388
   1730000       110.0302      -101.8672       211.8975
   1740000       104.7843      -102.8238       207.6081
   1750000       105.1609      -100.5134       205.6744
   1760000       100.5854      -103.8979       204.4834
   1770000        99.4481      -102.4990       201.9470
   1780000       109.1910       -97.7576       206.9486
   1790000       102.6449      -102.2479       204.8928
   1800000       106.1160      -100.3793       206.4954
   1810000       101.0811      -102.7232       203.8043
   1820000       102.4680      -103.2530       205.7210
   1830000       107.3853      -102.7716       210.1569
   1840000       112.0708       -98.6405       210.7113
   1850000       101.9084      -100.9280       202.8364
   1860000       106.4620       -97.3605       203.8226
   1870000       105.4933       -99.4994       204.9927
   1880000       113.3300       -97.2347       210.5648
   1890000       105.4091      -101.3292       206.7384
   1900000       100.7187      -102.8378       203.5565
   1910000       101.0415      -103.5223       204.5638
   1920000        96.8655      -105.4812       202.3467
   1930000        99.1693      -103.7622       202.9315
   1940000        96.5217      -106.8427       203.3645
   1950000        95.2473      -108.7222       203.9695
   1960000        99.5354      -107.9184       207.4538
   1970000       105.1237      -101.0366       206.1604
   1980000       109.5828      -102.7478       212.3306
   1990000       102.9296      -100.5452       203.4748
   2000000       111.8068       -95.7369       207.5438
   2010000       100.6018      -105.0782       205.6800
   2020000       104.3452      -101.5452       205.8904
   2030000        96.0728      -103.2835       199.3564
   2040000       111.6592       -97.4544       209.1136
   2050000        99.2821      -101.6517       200.9338
   2060000        97.3927      -101.2748       198.6675
   2070000       107.0179       -96.8104       203.8283
   2080000       110.3707       -92.8120       203.1827
   2090000       109.4840       -96.0095       205.4934
   2100000       102.1749      -101.1854       203.3603
   2110000       101.6468      -102.2404       203.8872
   2120000       101.4691      -101.7738       203.2429
   2130000       112.3305       -94.2020       206.5325
   2140000       109.3508       -98.9423       208.2931
   2150000       107.6488       -98.9681       206.6170
   2160000       103.4216       -99.7631       203.1847
   2170000       110.6840       -94.9734       205.6574
   2180000       107.0466       -98.4003       205.4469
   2190000       100.0998      -101.7312       201.8310
   2200000       106.1711       -94.1617       200.3327
   2210000        99.7653      -101.2520       201.0172
   2220000       102.9781      -101.7339       204.7119
   2230000        98.0808      -103.2412       201.3221
   2240000        97.0329      -100.8808       197.9137
   2250000        96.3172      -106.0620       202.3792
   2260000        96.9520      -103.4248       200.3768
   2270000        98.8808      -103.4005       202.2813
   2280000        99.3338      -100.7653       200.0991
   2290000       107.2439       -96.2362       203.4801
   2300000       108.9935       -96.0237       205.0173
   2310000       105.9731       -98.5489       204.5220
   2320000       100.8742      -101.7503       202.6245
   2330000       100.9674      -100.7123       201.6797
   2340000       105.2984       -98.1473       203.4457
   2350000       100.5121      -102.1952       202.7073
   2360000        98.2854      -101.3587       199.6441
   2370000        97.3476      -106.1406       203.4882
   2380000       103.1808      -102.5984       205.7792
   2390000        94.4412      -104.4989       198.9401
   2400000        98.4639      -104.1100       202.5739
   2410000        98.6497      -104.5621       203.2118
   2420000        96.8757      -104.5730       201.4487
   2430000        91.6986      -103.9397       195.6383
   2440000        94.2842      -102.2664       196.5506
   2450000        96.9163      -103.3370       200.2533
   2460000       102.8776       -98.7129       201.5905
   2470000       103.6500       -99.7769       203.4269
   2480000        93.8272      -102.4307       196.2579
   2490000        98.5091       -98.3138       196.8229
   2500000        96.0912      -101.4447       197.5359
   2510000        97.1664      -103.2416       200.4081
   2520000        94.5184      -100.2818       194.8002
   2530000        95.2037      -100.1224       195.3261
   2540000        94.5851       -98.8255       193.4106
   2550000        97.8946       -98.3286       196.2232
   2560000        89.5966      -106.4422       196.0388
   2570000        95.0435      -100.1892       195.2327
   2580000        91.0523      -104.7333       195.7856
   2590000        96.3345      -100.4940       196.8285
   2600000        97.7318      -100.5703       198.3021
   2610000        94.6017      -102.6167       197.2184
   2620000        95.8047      -100.2231       196.0279
   2630000        97.8785      -101.9838       199.8622
   2640000        90.8729      -102.9026       193.7754
   2650000        93.8089      -103.5511       197.3600
   2660000        95.5089      -101.8613       197.3702
   2670000        97.1918      -102.9115       200.1033
   2680000        97.9843      -101.2432       199.2275
   2690000        97.4342       -98.9125       196.3466
   2700000        92.6857      -103.7256       196.4113
   2710000       100.7967      -101.9536       202.7502
   2720000        93.5169      -103.6738       197.1908
   2730000       101.2978      -103.7934       205.0912
   2740000        96.2804      -105.1505       201.4309
   2750000        93.8360      -102.3792       196.2152
   2760000        94.1644      -102.0771       196.2415
   2770000        94.8520      -103.2037       198.0556
   2780000        93.4002      -104.2110       197.6112
   2790000        91.9351      -104.1820       196.1170
   2800000        93.3164      -105.0981       198.4145
   2810000        92.4579      -107.0197       199.4776
   2820000        98.8284      -100.5337       199.3620
